name	parent	project	category	type	priority	status	description	fileImportPath	custom_fields
geostorm	root	geostorm	projects	projects	none	idle	Feature moive		project_resolution:2k_Super35_24p;colorspace_settings:AlexaV3LogC;3d_resolution:ViperANA_2k 1920 1080 2.37;studio:Warner Bros.;studio_contact:Mark Brown;supervisor:Colin Strause;producer:Jeff Atherton;
afg-010	geostorm	geostorm	groups	shots	urgent	active			production_status:Bid;comp_status:WIP;
Camera v1	afg-010	geostorm	tasks	camera	low	revised			comp_status:Waiting;grouping:bldg;
plate-afg-010	afg-010	geostorm	tasks	plates	none	revised		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
humvee	afg-010	geostorm	assets	assets	low	idle			comp_status:Waiting;grouping:bldg;
Texture_humvee	humvee	geostorm	tasks	texture	none	idle			comp_status:Waiting;grouping:bldg;
Lookdev_humvee	humvee	geostorm	tasks	lookdev	none	idle			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
Rigging	humvee	geostorm	tasks	rig	medium	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
Matte	humvee	geostorm	tasks	matte	none	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
afg-025	geostorm	geostorm	groups	shots	low	revised			production_status:Bid;comp_status:WIP;
Camera v1	afg-025	geostorm	tasks	camera	none	revised			comp_status:Waiting;grouping:bldg;
plate-afg-025	afg-025	geostorm	tasks	plates	none	revised		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
sky	afg-025	geostorm	assets	assets	medium	idle			comp_status:Waiting;grouping:bldg;
Texture_sky	sky	geostorm	tasks	texture	none	approved			comp_status:Waiting;grouping:bldg;
Lookdev_sky	sky	geostorm	tasks	lookdev	medium	approved			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
Rigging	sky	geostorm	tasks	rig	none	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
afg-030	geostorm	geostorm	groups	shots	low	idle			production_status:Bid;comp_status:WIP;
plate-afg-030	afg-030	geostorm	tasks	plates	medium	idle		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Camera v1	afg-030	geostorm	tasks	camera	medium	idle			comp_status:Waiting;grouping:bldg;
shopFLA	afg-030	geostorm	assets	assets	medium	idle			comp_status:Waiting;grouping:bldg;
Texture_shop	shopFLA	geostorm	tasks	texture	none	idle			comp_status:Waiting;grouping:bldg;
Lookdev_shop	shopFLA	geostorm	tasks	lookdev	none	idle			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
roto-afg-030	afg-030	geostorm	tasks	roto	none	idle			comp_status:Waiting;grouping:bldg;
afg-035	geostorm	geostorm	groups	shots	critical	hold			production_status:Bid;comp_status:WIP;
plate-afg-035	afg-035	geostorm	tasks	plates	none	idle		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Camera v1	afg-035	geostorm	tasks	camera	none	idle			comp_status:Waiting;grouping:bldg;
roto-afg-030	afg-035	geostorm	tasks	roto	none	idle			comp_status:Waiting;grouping:bldg;
bush	afg-035	geostorm	assets	assets	none	active			comp_status:Waiting;grouping:bldg;
Texture	bush	geostorm	tasks	texture	urgent	active			comp_status:Waiting;grouping:bldg;
